alg,num-taxa,gene-trees,replicate,sb,spmin,spmax,rf-rate,running-time-s,max-cpu-mb,max-gpu-mb,gt-gt,gt-st
stelar,10000,1000,R1,0.000001,100000,150000,0.0056,68.123,12123.141,491.520,25.6857,17.7233
stelar,10000,1000,R1,0.000001,100000,200000,0.0070,87.321,11047.477,497.664,31.8185,22.1687
stelar,10000,1000,R1,0.000001,100000,250000,0.0088,121.611,11538.922,501.760,37.7523,26.6500
stelar,10000,1000,R1,0.000001,100000,300000,0.0100,182.682,12451.766,514.048,42.7808,30.6752
stelar,10000,2500,R1,0.000001,100000,150000,0.0041,213.285,18548.715,612.352,25.6857,17.7233
stelar,10000,2500,R1,0.000001,100000,200000,0.0046,419.918,19518.605,624.640,31.8185,22.1687
stelar,10000,2500,R1,0.000001,100000,250000,0.0059,880.770,18981.211,634.880,37.7523,26.6500
stelar,10000,2500,R1,0.000001,100000,300000,0.0062,1824.252,20673.613,655.360,42.7808,30.6752
stelar,10000,5000,R1,0.000001,100000,150000,0.0038,546.100,23961.340,813.056,25.6857,17.7233
stelar,10000,5000,R1,0.000001,100000,200000,0.0036,1291.352,24002.172,829.440,31.8185,22.1687
stelar,10000,5000,R1,0.000001,100000,250000,0.0046,3152.756,24064.621,851.968,37.7523,26.6500
stelar,10000,5000,R1,0.000001,100000,300000,0.0055,6860.427,24095.082,878.592,42.7808,30.6752
stelar,1000,1000,R1,0.000001,100000,150000,0.0040,2.098,1948.746,0.000,22.2166,15.3059
stelar,1000,1000,R1,0.000001,100000,200000,0.0040,2.123,1510.934,393.216,28.0943,19.1374
stelar,1000,1000,R1,0.000001,100000,250000,0.0060,2.455,1481.387,405.504,36.4694,25.8776
stelar,15000,1000,R1,0.000001,100000,150000,0.0056,147.249,16030.711,534.528,24.9463,17.1608
stelar,15000,1000,R1,0.000001,100000,200000,0.0066,200.623,16413.781,538.624,31.6310,21.9311
stelar,15000,1000,R1,0.000001,100000,250000,0.0085,294.763,16454.352,550.912,36.9834,25.9959
stelar,15000,1000,R1,0.000001,100000,300000,0.0114,443.334,16542.801,565.248,42.6732,30.5101
stelar,20000,1000,R1,0.000001,100000,150000,0.0049,339.713,17530.172,579.584,25.3133,17.3706
stelar,20000,1000,R1,0.000001,100000,200000,0.0073,563.792,18945.676,591.872,31.6602,22.0093
stelar,20000,1000,R1,0.000001,100000,250000,0.0088,999.842,19319.742,606.208,37.6451,26.5670
stelar,20000,1000,R1,0.000001,100000,300000,0.0106,1715.539,18463.492,628.736,42.8934,30.5826
stelar,2000,1000,R1,0.000001,100000,150000,0.0040,4.323,4727.242,413.696,25.8588,17.7666
stelar,2000,1000,R1,0.000001,100000,200000,0.0045,5.246,5185.195,413.696,33.0696,23.4051
stelar,2000,1000,R1,0.000001,100000,250000,0.0040,6.907,5303.582,419.840,38.0921,27.0105
stelar,25000,1000,R1,0.000001,100000,150000,0.0058,647.356,17452.031,624.640,25.5043,17.6573
stelar,25000,1000,R1,0.000001,100000,200000,0.0076,1176.499,18659.977,638.976,31.8894,22.3163
stelar,25000,1000,R1,0.000001,100000,250000,0.0085,2142.889,19913.234,659.456,37.4881,26.4080
stelar,25000,1000,R1,0.000001,100000,300000,0.0094,3733.869,20318.375,681.984,43.0520,30.8365
stelar,2500,1000,R1,0.000001,100000,150000,0.0036,6.787,5661.320,417.792,25.6308,17.7413
stelar,2500,1000,R1,0.000001,100000,200000,0.0056,7.921,5733.012,419.840,32.4189,22.4429
stelar,5000,1000,R1,0.000001,100000,150000,0.0056,17.717,7881.609,444.416,24.3826,16.9822
stelar,5000,1000,R1,0.000001,100000,200000,0.0056,24.722,7966.125,444.416,31.6630,22.1373
stelar,5000,1000,R1,0.000001,100000,250000,0.0082,34.063,7947.121,450.560,36.5459,25.4633
stelar,7500,1000,R1,0.000001,100000,150000,0.0053,33.964,9634.129,464.896,25.6129,17.6337
stelar,7500,1000,R1,0.000001,100000,200000,0.0083,47.404,8546.215,473.088,32.4036,22.6597
